taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	modified	bibliographicCitation	references	rights	rightsHolder	datasetName
167120	urn:lsid:marinespecies.org:taxname:167120	167120	167117		Corvospongilla caunteri	Corvospongilla caunteri	Corvospongilla	Annandale, N. 1911b. Freshwater Sponges, Hydroids and Polyzoa. Porifera. Pp. 27-126, 241-245, pls I-II. <i>In</i>: Shipley, A.E. (Ed.), Fauna of British India, including Ceylon and Burma. (Taylor and Francis: London): i-viii, 1-251.	1911	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		caunteri		Species	Annandale, 1911	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla caunteri Annandale, 1911. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167120	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167120			
167121	urn:lsid:marinespecies.org:taxname:167121	167121	167117		Corvospongilla lapidosa	Corvospongilla lapidosa	Corvospongilla	Annandale, N. 1908a. Notes on Freshwater Sponges. VIII. Preliminary Notice of a Collection from the Western India, with descriptions of two New Species. Records of the Indian Museum 2(1): 25-28.	1908	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		lapidosa		Species	(Annandale, 1908)	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla lapidosa (Annandale, 1908). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php/aphia.php?p=taxdetails&id=167121	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167121			
167122	urn:lsid:marinespecies.org:taxname:167122	167122	167117		Corvospongilla loricata	Corvospongilla loricata	Corvospongilla	Weltner, W. (1895). Spongillidenstudien III. Katalog und Verbreitung der bekannten Süsswasserschwämme. <em>Archiv für Naturgeschichte.</em> 61(1):114-144.	1895	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		loricata		Species	(Weltner, 1895)	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla loricata (Weltner, 1895). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167122	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167122			
167123	urn:lsid:marinespecies.org:taxname:167123	167123	167117		Corvospongilla mesopotamica	Corvospongilla mesopotamica	Corvospongilla	Manconi R., Pronzato R., 2004. The genus Corvospongilla Annandale (Haplosclerida, Spongillina, Spongillidae) with description of a new species from eastern Mesopotamia, Iraq. Arch. Hydrobiol. Suppl., Monogr. Stud. 151(1-2): 161-189.  	2004	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		mesopotamica		Species	Manconi & Pronzato, 2004	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla mesopotamica Manconi & Pronzato, 2004. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167123	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167123			
167124	urn:lsid:marinespecies.org:taxname:167124	167124	167117		Corvospongilla micramphidiscoides	Corvospongilla micramphidiscoides	Corvospongilla	Weltner, W. 1913. Süsswasserschwämme (Spongillidae) der Deutschen Zentralafrika - Expedition 1907-1908. Wissenschaftliche Ergebnisse der Deutschen Antarktischen Expedition 1938-39. Hamburg 12: 475-485.	1913	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		micramphidiscoides		Species	Weltner, 1913	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla micramphidiscoides Weltner, 1913. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167124	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167124			
167125	urn:lsid:marinespecies.org:taxname:167125	167125	167117		Corvospongilla novaeterrae	Corvospongilla novaeterrae	Corvospongilla	Potts, E. 1886. Freshwater Sponges from Newfoundland: A new Species. Proceedings of the Academy of Natural Sciences of Philadelphia 1886: 227-230.	1886	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		novaeterrae		Species	(Potts, 1886)	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla novaeterrae (Potts, 1886). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167125	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167125			
167126	urn:lsid:marinespecies.org:taxname:167126	167126	167117		Corvospongilla scabrispiculis	Corvospongilla scabrispiculis	Corvospongilla	Annandale, N. 1913a. Notes on Freshwater Sponges. XV. Sponges from shells of the genus <i>Aetheria</i>. Records of the Indian Museum 9: 237-240.	1913	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		scabrispiculis		Species	Annandale, 1913	ICZN	accepted	2008-08-08	Manconi, R. (2015). Corvospongilla scabrispiculis Annandale, 1913. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167126	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167126			
167127	urn:lsid:marinespecies.org:taxname:167127	167127	167117		Corvospongilla seckti	Corvospongilla seckti	Corvospongilla	Bonetto, A.A.; Ezcurra De Drago, I.D. (1966). Nuevos aportes alconocimiento de las esponjas argentinas. <em>Physis.</em> 26(71): 129-140.	1966	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		seckti		Species	Bonetto & Ezcurra de Drago, 1966	ICZN	accepted	2010-06-17	van Soest, R. (2015). Corvospongilla seckti Bonetto & Ezcurra de Drago, 1966. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167127	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167127			
167130	urn:lsid:marinespecies.org:taxname:167130	167127	167117		Corvospongilla volkmeri	Corvospongilla seckti	Corvospongilla	De_Rosa_Barbosa, R. 1988. <i>Corvospongilla volkmeri</i> sp.n. e registro de <i>Corvospongilla seckti</i> Bonetto & Ezcurra de Drago, 1966 no Brasil (Porifera, Spongillidae). Iheringia (Zoologia) (67): 109-122.	1988	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		volkmeri		Species	de Rosa Barbosa, 1988	ICZN	unaccepted	2013-10-03	van Soest, R. (2015). Corvospongilla volkmeri de Rosa Barbosa, 1988. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167130	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167130			
167128	urn:lsid:marinespecies.org:taxname:167128	167128	167117		Corvospongilla ultimum	Corvospongilla ultimum	Corvospongilla	Annandale, N. 1910a. Notes on Freshwater Sponges. XII. Description of a new species from Cape Comorin. Records of the Indian Museum 5: 31.	1910	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		ultimum		Species	(Annandale, 1910)	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla ultima (Annandale, 1910). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167128	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167128			
