taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	modified	bibliographicCitation	references	rights	rightsHolder	datasetName
167108	urn:lsid:marinespecies.org:taxname:167108	167108	845456		Spongillidae	Spongillidae	Spongillida	Gray, J.E. (1867). Notes on the Arrangement of Sponges, with the Descriptions of some New Genera. <em>Proceedings of the Zoological Society of London.</em> 1867(2): 492-558, pls XXVII-XXVIII.	1867	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae					Family	Gray, 1867	ICZN	accepted	2015-04-21	van Soest, R. (2015). Spongillidae Gray, 1867. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167108	aphia.php?p=taxdetails&id=167108			
167109	urn:lsid:marinespecies.org:taxname:167109	167109	167108		Anheteromeyenia	Anheteromeyenia	Spongillidae	Schröder, K. 1927. Über die Gattungen <i>Carterius</i> Petr, <i>Astromeyenia</i> Annandale und <i>Heteromeyenia</i> Potts (Porifera: Spongillidae).Spongilliden-Studien III. Zoologischer Anzeiger 73(5-8): 101-112.	1927	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia				Genus	Schröder, 1927	ICZN	accepted	2010-03-22	van Soest, R. (2010). Anheteromeyenia Schröder, 1927. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167109	aphia.php?p=taxdetails&id=167109			
167110	urn:lsid:marinespecies.org:taxname:167110	167110	167109		Anheteromeyenia argyrosperma	Anheteromeyenia argyrosperma	Anheteromeyenia	Potts, E. 1880b. On freshwater sponges. Proceedings of the Academy of Natural Sciences of Philadelphia 1880: 356-357.	1880	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia		argyrosperma		Species	(Potts, 1880)	ICZN	accepted	2010-03-22	van Soest, R. (2010). Anheteromeyenia argyrosperma (Potts, 1880). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167110 on 2016-07-01	aphia.php?p=taxdetails&id=167110			
167111	urn:lsid:marinespecies.org:taxname:167111	366240	167109		Anheteromeyenia biceps	Racekiela biceps	Anheteromeyenia	Lindenschmidt, M.J. 1950. A New Species of Freshwater Sponge. Transactions of the American Microscopical Society 69(2): 214-216.	1950	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia		biceps		Species	(Lindenschmidt, 1950)	ICZN	synonym	2010-06-16	van Soest, R.; Manconi, R. (2010). Anheteromeyenia biceps (Lindenschmidt, 1950). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167111 on 2016-07-01	aphia.php?p=taxdetails&id=167111			
167112	urn:lsid:marinespecies.org:taxname:167112	167112	167109		Anheteromeyenia ornata	Anheteromeyenia ornata	Anheteromeyenia	Bonetto, A.A.; Ezcurra De Drago, I.D. (1970). Esponjas de losafluentes del alto Parana en la provincia de Misiones. <em>Acta Zoologica Lilloana.</em> 27: 37-61.	1970	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia		ornata		Species	(Bonetto & Ezcurra de Drago, 1970)	ICZN	accepted	2010-06-16	van Soest, R.; Manconi, R. (2010). Anheteromeyenia ornata (Bonetto & Ezcurra de Drago, 1970). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167112	aphia.php?p=taxdetails&id=167112			
167113	urn:lsid:marinespecies.org:taxname:167113	366241	167109		Anheteromeyenia pictouensis	Racekiela pictouensis	Anheteromeyenia	Potts, E. 1885a. A new freshwater sponge from Nova-Scotia. Proceedings of the Academy of Natural Sciences of Philadelphia 1885: 28-29.	1885	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia		pictouensis		Species	(Potts, 1885)	ICZN	synonym	2013-02-22	van Soest, R.; Manconi, R. (2013). Anheteromeyenia pictouensis (Potts, 1885). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167113 on 2016-07-01	aphia.php?p=taxdetails&id=167113			
167201	urn:lsid:marinespecies.org:taxname:167201	167201	167108		Racekiela	Racekiela	Spongillidae	Bass, D.; Volkmer-Ribeiro, C. 1998. <i>Radiospongilla crateriformis</i>(Porifera, Spongillidae) in the West Indies and taxonomic notes. Iheringia (Zoologia) (85): 123-128.	1998	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Racekiela				Genus	Bass & Volkmer-Ribeiro, 1998	ICZN	accepted	2010-06-18	van Soest, R. (2010). Racekiela Bass & Volkmer-Ribeiro, 1998. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167201	aphia.php?p=taxdetails&id=167201			
366241	urn:lsid:marinespecies.org:taxname:366241	366241	167201		Racekiela pictouensis	Racekiela pictouensis	Racekiela	Potts, E. 1885a. A new freshwater sponge from Nova-Scotia. Proceedings of the Academy of Natural Sciences of Philadelphia 1885: 28-29.	1885	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Racekiela		pictouensis		Species	(Potts, 1885)	ICZN	accepted	2013-02-22	van Soest, R.; Manconi, R. (2013). Racekiela pictouensis (Potts, 1885). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed at http://www.marinespecies.org/aphia.php?p=taxdetails&id=366241 on 2016-07-01	aphia.php?p=taxdetails&id=366241			
366240	urn:lsid:marinespecies.org:taxname:366240	366240	167201		Racekiela biceps	Racekiela biceps	Racekiela	Lindenschmidt, M.J. 1950. A New Species of Freshwater Sponge. Transactions of the American Microscopical Society 69(2): 214-216.	1950	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Racekiela		biceps		Species	(Lindenschmidt, 1950)	ICZN	accepted	2008-08-07	Manconi, R. (2008). Racekiela biceps (Lindenschmidt, 1950). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P.; Carballo, J. L. (2016). World Porifera database. Accessed at http://www.marinespecies.org/porifera/porifera.php?p=taxdetails&id=366240 on 2016-07-01	aphia.php?p=taxdetails&id=366240			
